,Enzyme Common Name,,EnzymeId
1405,ORF,primary,
1406,Ras guanyl-nucleotide exchange factor activity,primary,
1407,ORF,primary,
1408,protein transmembrane transporter activity//binding//Ran GTPase binding//protein transporter activity,primary,
1409,monocarboxylic acid transmembrane transporter activity,primary,
1410,triacylglycerol lipase activity,primary,309
1411,structural constituent of chitin-based cuticle,primary,
1412,dolichyl-phosphate-mannose-protein mannosyltransferase activity,primary,1525
1413,heme transporter activity,primary,
1414,ORF,primary,
1415,sequence-specific DNA binding//transcription factor activity,primary,
1416,ORF,primary,
1417,ORF,primary,
1418,ORF,primary,
1419,ORF,primary,
1420,serine-type endopeptidase activity,primary,
1421,ORF,primary,
1422,ATP-dependent RNA helicase activity,primary,641
1423,nucleoside-triphosphatase activity,primary,1357
1424,carboxylesterase activity,primary,1121
1425,ORF,primary,
1426,ORF,primary,
1427,DNA binding,primary,
1428,RNA polymerase II transcription mediator activity//transcription coactivator activity,primary,
1429,dipeptidyl-peptidase IV activity,primary,980
1430,nucleotide binding//mRNA binding//RNA binding,primary,
1431,calcium ion binding,primary,
1432,aminoacyl-tRNA hydrolase activity,primary,1408
1433,protein serine/threonine kinase activity,primary,1451
1434,olfactory receptor activity//odorant binding,primary,
1435,binding//oxidoreductase activity,primary,
1436,ORF,primary,
1437,ORF,primary,
1438,metalloendopeptidase activity//zinc ion binding,primary,
1439,protein tyrosine kinase inhibitor activity//SH3 domain binding,primary,
1440,voltage-gated potassium channel activity,primary,
1441,ORF,primary,
1442,catalytic activity,primary,
1443,"hydrogen ion transporting ATPase activity, rotational mechanism",primary,1338
1444,transmembrane receptor protein tyrosine phosphatase activity,primary,
1445,ORF,primary,
1446,helicase activity,primary,
1447,ORF,primary,
1448,"6,7-dihydropteridine reductase activity",primary,55
1449,pancreatic elastase activity,primary,823
1450,RNA polymerase II transcription factor activity//zinc ion binding,primary,
1451,ORF,primary,
1452,protein binding,primary,
1453,ORF,primary,
1454,ORF,primary,
1455,ORF,primary,
1456,ORF,primary,
1457,oxysterol binding,primary,
1458,phosphoglycerate dehydrogenase activity,primary,926
1459,dolichyl-diphosphooligosaccharide-protein glycotransferase activity,primary,1470
1460,zinc ion binding//nucleic acid binding,primary,
1461,ORF,primary,
1462,protein binding,primary,
1463,ORF,primary,
1464,transketolase activity,primary,151
1465,amino acid transmembrane transporter activity,primary,
1466,glutathione transferase activity,primary,650
1467,ORF,primary,
1468,ORF,primary,
1469,electron carrier activity,primary,
1470,ORF,primary,
1471,GTP binding,primary,
1472,ORF,primary,
1473,ORF,primary,
1474,signal transducer activity,primary,
1475,acyl-CoA thioesterase activity,primary,445
1476,ORF,primary,
1477,transporter activity,primary,
1478,catalytic activity,primary,
1479,ORF,primary,
1480,protein binding//zinc ion binding,primary,
1481,ORF,primary,
1482,stearoyl-CoA 9-desaturase activity,primary,1481
1483,ORF,primary,
1484,ORF,primary,
1485,transmembrane receptor activity//protein binding//hedgehog receptor activity,primary,
1486,ORF,primary,
1487,ORF,primary,
1488,ORF,primary,
1489,ORF,primary,
1490,protein binding//zinc ion binding,primary,
1491,exodeoxyribonuclease I activity,primary,1333
1492,ATP-dependent helicase activity,primary,641
1493,signal transducer activity//transcription factor activity//juvenile hormone binding,primary,
1494,"nucleoside transmembrane transporter activity, down a concentration gradient",primary,
1495,translation initiation factor activity,primary,
1496,ORF,primary,
1497,electron carrier activity,primary,
1498,ORF,primary,
1499,serine-type endopeptidase activity,primary,
1500,taste receptor activity,primary,
1501,ionotropic glutamate receptor activity//extracellular-glutamate-gated ion channel activity//kainate selective glutamate receptor activity//glutamate receptor activity,primary,
1502,protein-tyrosine sulfotransferase activity,primary,1514
1503,glyceraldehyde-3-phosphate dehydrogenase (phosphorylating) activity,primary,1251
1504,structural constituent of ribosome,primary,
1505,ORF,primary,
1506,phosphoric monoester hydrolase activity,primary,
1507,protein kinase activity,primary,
1508,ORF,primary,
1509,chitin binding,primary,
1510,serine-type endopeptidase activity,primary,
1511,electron carrier activity//magnesium ion binding//thiamin pyrophosphate binding//transferase activity,primary,
1512,small GTPase regulator activity//protein binding,primary,
1513,ORF,primary,
1514,ORF,primary,
1515,ORF,primary,
1516,procollagen-proline 4-dioxygenase activity,primary,833
1517,structural constituent of chitin-based cuticle,primary,
1518,ORF,primary,
1519,protein binding,primary,
1520,sequence-specific DNA binding//transcription factor activity,primary,
1521,furin activity,primary,44
1522,GTPase activity,primary,1171
1523,trypsin activity,primary,823
1524,receptor activity,primary,
1525,serine-type endopeptidase activity,primary,
1526,tripeptidyl-peptidase II activity,primary,1140
1527,hormone activity,primary,
1528,SH2 domain binding//protein binding//SH3 domain binding,primary,
1529,transcription regulator activity//RNA polymerase II transcription factor activity//transcription factor activity,primary,
1530,damaged DNA binding,primary,
1531,ORF,primary,
1532,ORF,primary,
1533,ATP binding,primary,
1534,SH3/SH2 adaptor activity//sevenless binding//protein binding,primary,
1535,flavin-linked sulfhydryl oxidase activity,primary,1285
1536,ORF,primary,
1537,protein-lysine 6-oxidase activity,primary,804
1538,dopachrome isomerase activity,primary,691
1539,neprilysin activity,primary,211
1540,general RNA polymerase II transcription factor activity,primary,
1541,RNA polymerase II transcription factor activity//zinc ion binding//nucleic acid binding,primary,
1542,ORF,primary,
1543,GTPase activity,primary,1171
1544,nucleic acid binding,primary,
1545,ORF,primary,
1546,phosphatidylinositol binding//clathrin binding,primary,
1547,ORF,primary,
1548,serine-type endopeptidase inhibitor activity,primary,
1549,ORF,primary,
1550,ORF,primary,
1551,structural constituent of ribosome,primary,
1552,ORF,primary,
1553,ORF,primary,
1554,ORF,primary,
1555,ORF,primary,
1556,ORF,primary,
1557,ORF,primary,
1558,ORF,primary,
1559,cytochrome-c oxidase activity,primary,1456
1560,ORF,primary,
1561,catalytic activity,primary,
1562,translation initiation factor activity//protein binding,primary,
1563,diacylglycerol kinase activity,primary,1003
1564,Gram-negative bacterial binding,primary,
1565,ORF,primary,
1566,cyclin-dependent protein kinase regulator activity,primary,
1567,retinal binding,primary,
1568,ORF,primary,
1569,ORF,primary,
1570,protein serine/threonine kinase activity,primary,1451
1571,ORF,primary,
1572,protein binding//protein phosphatase inhibitor activity,primary,
1573,serine carboxypeptidase activity,primary,
1574,ORF,primary,
1575,secondary active monocarboxylate transmembrane transporter activity,primary,
1576,NADH dehydrogenase activity,primary,1214
1577,nucleic acid binding,primary,
1578,sodium-independent organic anion transmembrane transporter activity,primary,
1579,inositol or phosphatidylinositol phosphatase activity,primary,868
1580,calcium:sodium antiporter activity,primary,
1581,protein transporter activity,primary,
1582,uridine kinase activity,primary,540
1583,ORF,primary,
1584,binding//transmembrane transporter activity,primary,
1585,cytoskeletal protein binding//actin binding//structural molecule activity,primary,
1586,ORF,primary,
1587,ORF,primary,
1588,SNAP receptor activity,primary,
1589,peptidyl-prolyl cis-trans isomerase activity,primary,366
1590,protein farnesyltransferase activity,primary,774
1591,ORF,primary,
1592,nucleotide binding//mRNA binding//nucleic acid binding,primary,
1593,ORF,primary,
1594,adenylate cyclase activity,primary,724
1595,ORF,primary,
1596,microtubule binding,primary,1451
1597,ORF,primary,
1598,solute:hydrogen antiporter activity,primary,
1599,dihydrolipoyl dehydrogenase activity,primary,1102
1600,endopeptidase inhibitor activity//serine-type endopeptidase inhibitor activity,primary,
1601,chitin binding,primary,
1602,ORF,primary,
1603,ORF,primary,
1604,tRNA (guanine-N7-)-methyltransferase activity,primary,1409
1605,ORF,primary,
1606,ubiquitin-protein ligase activity,primary,1480
1607,ORF,primary,
1608,alcohol dehydrogenase activity,primary,53
1609,ORF,primary,
1610,dCMP deaminase activity,primary,779
1611,RNA-directed DNA polymerase activity,primary,1381
1612,ORF,primary,
1613,ORF,primary,
1614,binding,primary,
1615,ORF,primary,
1616,ORF,primary,
1617,structural molecule activity//phosphoric monoester hydrolase activity,primary,
1618,sequence-specific DNA binding//DNA binding//bent DNA binding,primary,
1619,ORF,primary,
1620,ribokinase activity,primary,890
1621,ORF,primary,
1622,transcription cofactor activity//histone methyltransferase activity//transcription factor binding//zinc ion binding,primary,
1623,structural constituent of chitin-based cuticle//structural constituent of chitin-based larval cuticle,primary,
1624,nucleoside-triphosphatase activity,primary,669
1625,metal ion transmembrane transporter activity,primary,
1626,ORF,primary,
1627,nutrient reservoir activity,primary,
1628,ORF,primary,
1629,acetylcholine binding//nicotinic acetylcholine-activated cation-selective channel activity//neurotransmitter receptor activity,primary,
1630,nucleotide binding//mRNA binding//nucleic acid binding,primary,
1631,Rho GTPase binding//actin binding,primary,
1632,GTPase activity,primary,1171
1633,G-protein coupled photoreceptor activity,primary,
1634,sequence-specific DNA binding//transcription activator activity//protein heterodimerization activity//RNA polymerase II transcription factor activity//transcription factor activity,primary,
1635,ORF,primary,
1636,ubiquitin thiolesterase activity,primary,1532
1637,chitin binding//structural constituent of peritrophic membrane,primary,
1638,heat shock protein binding,primary,
1639,ORF,primary,
1640,glyoxylate reductase (NADP) activity,primary,496
1641,ORF,primary,
1642,electron carrier activity//heme binding//monooxygenase activity//iron ion binding,primary,
1643,ORF,primary,
1644,double-stranded RNA binding//helicase activity//bidentate ribonuclease III activity//ATP binding//protein binding,primary,
1645,ATPase activity,primary,641
1646,neprilysin activity,primary,211
1647,ORF,primary,
1648,chitin binding//structural constituent of peritrophic membrane,primary,
1649,ORF,primary,
1650,RNA-directed DNA polymerase activity,primary,1381
1651,histone lysine N-methyltransferase activity (H3-K9 specific),primary,1459
1652,ORF,primary,
1653,furin activity,primary,1066
1654,actin binding,primary,
1655,cathepsin K activity,primary,730
1656,ORF,primary,
1657,ATP-dependent RNA helicase activity,primary,641
1658,ORF,primary,
1659,translation initiation factor activity,primary,
1660,UTP:glucose-1-phosphate uridylyltransferase activity,primary,875
1661,ORF,primary,
1662,"ligand-dependent nuclear receptor activity//sequence-specific DNA binding//DNA binding//transcription factor activity//steroid hormone receptor activity//hydrolase activity, hydrolyzing O-glycosyl compounds//zinc ion binding",primary,
1663,ubiquitin-protein ligase activity,primary,1480
1664,histone lysine N-methyltransferase activity (H3-K9 specific),primary,1471
1665,"hydrolase activity, acting on ester bonds//transcription coactivator activity//nucleic acid binding",primary,
1666,electron carrier activity//iron-sulfur cluster binding//zinc ion binding,primary,
1667,ORF,primary,
1668,ORF,primary,
1669,"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds",primary,1034
1670,nucleic acid binding,primary,
1671,ORF,primary,
1672,protein tyrosine phosphatase activity,primary,1490
1673,protein-arginine N-methyltransferase activity,primary,
1674,translation elongation factor activity,primary,
1675,ORF,primary,
1676,DNA topoisomerase activity,primary,1017
1677,ORF,primary,
1678,endopeptidase activity//threonine endopeptidase activity,primary,
1679,protein binding//phosphoinositide binding,primary,
1680,ORF,primary,
1681,ORF,primary,
1682,DNA binding//transcription initiation factor activity//general RNA polymerase II transcription factor activity,primary,
1683,alkaline phosphatase activity,primary,675
1684,copper ion binding,primary,
1685,ORF,primary,
1686,glutathione transferase activity,primary,650
1687,protein binding//zinc ion binding,primary,
1688,serine-type endopeptidase activity,primary,
1689,sequence-specific DNA binding//specific RNA polymerase II transcription factor activity//transcription factor activity,primary,
1690,methyl-CpG binding//transcription coactivator activity,primary,
1691,protein serine/threonine kinase activity,primary,1451
1692,ORF,primary,
1693,ATPase activity,primary,641
1694,structural constituent of chitin-based larval cuticle,primary,
1695,ORF,primary,
1696,protein binding,primary,
1697,"oxidoreductase activity, acting on CH-OH group of donors//binding",primary,
1698,RNA binding,primary,
1699,ORF,primary,
1700,ORF,primary,
1701,UDP-galactose transmembrane transporter activity,primary,
1702,ATP-dependent RNA helicase activity,primary,641
1703,ORF,primary,
1704,retinal binding,primary,
1705,ORF,primary,
1706,ORF,primary,
1707,ORF,primary,
1708,ORF,primary,
1709,ORF,primary,
1710,organic cation transmembrane transporter activity,primary,
1711,ORF,primary,
1712,ORF,primary,
1713,ORF,primary,
1714,peroxidase activity,primary,475
1715,ORF,primary,
1716,calcium-transporting ATPase activity,primary,500
1717,ORF,primary,
1718,peptidylamidoglycolate lyase activity,primary,1109
1719,ARF GTPase activator activity//GTP binding//zinc ion binding,primary,
1720,translation initiation factor activity,primary,
1721,DNA binding,primary,
1722,zinc ion binding,primary,
1723,protein tyrosine phosphatase activity,primary,1547
1724,ORF,primary,
1725,double-stranded RNA binding,primary,
1726,ORF,primary,
1727,ORF,primary,
1728,calcium ion binding,primary,
1729,chitin binding//structural constituent of peritrophic membrane,primary,
1730,ORF,primary,
1731,protein tyrosine kinase activity,primary,
1732,peroxisome matrix targeting signal-2 binding,primary,
1733,ATP binding//protein binding//aminoacyl-tRNA ligase activity,primary,
1734,ORF,primary,
1735,ORF,primary,
1736,ORF,primary,
1737,RNA polymerase III transcription factor activity,primary,
1738,ferredoxin-NADP+ reductase activity,primary,1495
1739,neprilysin activity,primary,211
1740,DNA-directed DNA polymerase activity,primary,1384
1741,transcription regulator activity//protein binding//zinc ion binding,primary,
1742,DNA binding//DNA polymerase processivity factor activity,primary,
1743,nucleotide binding//mRNA binding//poly(A) binding//nucleic acid binding,primary,
1744,"ATPase activity, coupled to transmembrane movement of substances",primary,917
1745,phospholipid-translocating ATPase activity,primary,461
1746,lysophospholipase activity,primary,529
1747,ORF,primary,
1748,ORF,primary,
1749,odorant binding,primary,
1750,electron carrier activity,primary,
1751,ORF,primary,
1752,electron carrier activity//heme binding//monooxygenase activity//iron ion binding,primary,
1753,dipeptidyl-peptidase IV activity,primary,980
1754,galactosyltransferase activity,primary,357
1755,GTPase activity,primary,1171
1756,ATP binding,primary,
1757,ORF,primary,
1758,ORF,primary,
1759,ORF,primary,
1760,calcium-dependent phospholipid binding,primary,
1761,ORF,primary,
1762,ion channel activity,primary,
1763,neurotransmitter transporter activity//syntaxin binding,primary,
1764,protein tyrosine phosphatase activator activity,primary,
1765,zinc ion binding,primary,
1766,ORF,primary,
1767,zinc ion binding,primary,
1768,protein binding//zinc ion binding,primary,
1769,ORF,primary,
1770,ORF,primary,
1771,structural constituent of muscle,primary,
1772,zinc ion binding//nucleic acid binding,primary,
1773,ORF,primary,
1774,GTPase activity,primary,1171
1775,ORF,primary,
1776,ORF,primary,
1777,ORF,primary,
1778,ORF,primary,
1779,ORF,primary,
1780,sequence-specific DNA binding//protein binding//transcription factor activity//zinc ion binding,primary,
1781,protein serine/threonine kinase activity,primary,1488
1782,protein binding//zinc ion binding,primary,
1783,ORF,primary,
1784,ORF,primary,
1785,ORF,primary,
1786,calcium ion binding,primary,
1787,ORF,primary,
1788,ORF,primary,
1789,ORF,primary,
1790,ORF,primary,
1791,trypsin activity,primary,823
1792,ORF,primary,
1793,phosphatidylinositol N-acetylglucosaminyltransferase activity,primary,199
1794,actin-dependent ATPase activity,primary,641
1795,hormone activity//neuropeptide hormone activity,primary,
1796,ubiquitin-protein ligase activity,primary,1480
1797,serine-type endopeptidase activity,primary,
1798,transcription initiation factor activity//general RNA polymerase II transcription factor activity,primary,
1799,ORF,primary,
1800,ORF,primary,
1801,inositol-1(or 4)-monophosphatase activity,primary,868
1802,DNA-directed RNA polymerase activity,primary,1393
1803,protein binding//zinc ion binding,primary,
1804,ORF,primary,
1805,electron carrier activity//heme binding//monooxygenase activity//iron ion binding,primary,
1806,ribokinase activity,primary,890
1807,ORF,primary,
1808,GTPase activity,primary,1171
1809,potassium channel activity,primary,
1810,ORF,primary,
1811,G-protein-coupled receptor binding//neuropeptide hormone activity,primary,
1812,ORF,primary,
1813,ORF,primary,
1814,ORF,primary,
1815,ORF,primary,
1816,ORF,primary,
1817,ORF,primary,
1818,zinc ion binding//nucleic acid binding,primary,
1819,structural molecule activity,primary,
1820,fibroblast growth factor receptor activity,primary,
1821,ORF,primary,
1822,ORF,primary,
1823,ORF,primary,
1824,structural constituent of ribosome,primary,
1825,chitin binding,primary,
1826,ORF,primary,
1827,olfactory receptor activity//odorant binding//actin binding,primary,
1828,SNAP receptor activity,primary,
1829,serine-type endopeptidase inhibitor activity,primary,
1830,histidine decarboxylase activity,primary,454
1831,long-chain-fatty-acid-CoA ligase activity,primary,987
1832,ORF,primary,
1833,sodium channel activity,primary,
1834,microtubule binding,primary,
1835,ORF,primary,
1836,ORF,primary,
1837,trypsin activity,primary,823
1838,glutaryl-CoA dehydrogenase activity,primary,614
1839,P-P-bond-hydrolysis-driven protein transmembrane transporter activity,primary,
1840,4-nitrophenylphosphatase activity,primary,928
1841,transcription repressor activity//binding,primary,
1842,ORF,primary,
1843,ORF,primary,
1844,ORF,primary,
1845,ORF,primary,
1846,ORF,primary,
1847,ORF,primary,
1848,ORF,primary,
1849,GTPase activity,primary,1171
1850,protein binding,primary,
1851,ORF,primary,
1852,"ATPase activity, coupled",primary,641
1853,actin binding,primary,
1854,ORF,primary,
1855,ORF,primary,
1856,ORF,primary,
1857,ORF,primary,
1858,mRNA binding,primary,
1859,acetyl-CoA carboxylase activity,primary,1264
1860,protein serine/threonine kinase activity,primary,1451
1861,"beta-1,4-mannosyltransferase activity",primary,
1862,ORF,primary,
1863,gamma-tubulin binding,primary,
1864,ORF,primary,
1865,glutathione transferase activity,primary,650
1866,ORF,primary,
1867,ORF,primary,
1868,ORF,primary,
1869,ORF,primary,
1870,ORF,primary,
1871,ORF,primary,
1872,serine-type endopeptidase inhibitor activity,primary,
1873,ORF,primary,
1874,organic cation transmembrane transporter activity,primary,
1875,ORF,primary,
1876,ORF,primary,
1877,3'-phosphoadenosine 5'-phosphosulfate transmembrane transporter activity,primary,
1878,structural molecule activity,primary,
1879,protein binding,primary,
1880,nucleoside triphosphate adenylate kinase activity,primary,1270
1881,GTPase activity,primary,1171
1882,adenylate kinase activity,primary,1270
1883,ORF,primary,
1884,extracellular-glycine-gated chloride channel activity//neurotransmitter receptor activity//GABA-A receptor activity,primary,
1885,nicotinic acetylcholine-activated cation-selective channel activity,primary,
1886,phospholipid binding,primary,
1887,glutamate receptor activity,primary,
1888,ORF,primary,
1889,ORF,primary,
1890,glycerate kinase activity,primary,929
1891,hydrolase activity,primary,
1892,ORF,primary,
1893,scavenger receptor activity,primary,
1894,mRNA binding//nucleotide binding//nucleic acid binding,primary,
1895,lipid transporter activity,primary,
1896,DNA-directed RNA polymerase activity,primary,1393
1897,sequence-specific DNA binding//RNA polymerase II transcription factor activity//transcription factor activity,primary,
1898,glucose transmembrane transporter activity,primary,
1899,ORF,primary,
1900,glutaminyl-peptide cyclotransferase activity,primary,1520
1901,calcium channel activity,primary,
1902,zinc ion transmembrane transporter activity,primary,
1903,catalytic activity,primary,
1904,ORF,primary,
1905,ORF,primary,
1906,calcium ion binding,primary,
1907,protein serine/threonine kinase activity,primary,1451
1908,phosphopantetheine binding//calcium ion binding,primary,
1909,ORF,primary,
1910,DNA binding,primary,
1911,ORF,primary,
1912,chitin binding,primary,
1913,hormone activity//neuropeptide hormone activity,primary,
1914,"transferase activity, transferring groups other than amino-acyl groups",primary,
1915,trypsin activity,primary,823
1916,myosin phosphatase activity,primary,1547
1917,zinc ion binding//nucleic acid binding,primary,
1918,ORF,primary,
1919,protein binding//receptor binding//calcium ion binding,primary,
1920,ORF,primary,
1921,methyl-CpG binding//transcription regulator activity//histone deacetylase binding,primary,
1922,ORF,primary,
1923,ORF,primary,
1924,odorant binding,primary,
1925,GTPase activity,primary,1171
1926,sterol carrier protein X-related thiolase activity,primary,221
1927,ORF,primary,
1928,ORF,primary,
1929,procollagen N-endopeptidase activity,primary,30
1930,ORF,primary,
1931,binding//oxidoreductase activity,primary,
1932,ORF,primary,
1933,serine-type endopeptidase inhibitor activity,primary,
1934,DNA topoisomerase type I activity,primary,1017
1935,electron carrier activity//heme binding//monooxygenase activity//iron ion binding//zinc ion binding,primary,
1936,"ATPase activity, coupled",primary,641
1937,ORF,primary,
1938,ORF,primary,
1939,binding//galactose binding,primary,
1940,ORF,primary,
1941,ORF,primary,
1942,"metabotropic glutamate, GABA-B-like receptor activity//G-protein coupled receptor activity",primary,
1943,ORF,primary,
1944,phosphopantetheine binding,primary,
1945,ORF,primary,
1946,"N-acetyllactosaminide beta-1,6-N-acetylglucosaminyltransferase activity",primary,166
1947,ORF,primary,
1948,ubiquitin thiolesterase activity,primary,1532
1949,ORF,primary,
1950,SNAP receptor activity,primary,
1951,protein binding,primary,
1952,ORF,primary,
1953,microtubule motor activity//kinesin binding,primary,
1954,peptidase activity,primary,
1955,tubulin-tyrosine ligase activity,primary,1504
1956,"actin binding//hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amidines//metal ion binding",primary,
1957,Inferred by computational analysis,primary,467
1958,ORF,primary,
1959,ORF,primary,
1960,transcription regulator activity//protein binding//transcription factor binding,primary,
1961,ORF,primary,
1962,protein binding,primary,
1963,ORF,primary,
1964,ORF,primary,
1965,ORF,primary,
1966,neprilysin activity,primary,211
1967,zinc ion binding,primary,
1968,ORF,primary,
1969,"UDP-galactose:beta-N-acetylglucosamine beta-1,3-galactosyltransferase activity",primary,357
1970,sequence-specific DNA binding//transcription factor activity//zinc ion binding,primary,
1971,channel regulator activity,primary,
1972,binding//oxidative phosphorylation uncoupler activity//transmembrane transporter activity,primary,
1973,chymotrypsin activity,primary,162
1974,ORF,primary,
1975,protein kinase CK2 regulator activity,primary,
1976,protein binding,primary,
1977,triacylglycerol lipase activity,primary,309
1978,ORF,primary,
1979,electron carrier activity,primary,
1980,ORF,primary,
1981,binding,primary,
1982,structural constituent of ribosome,primary,
1983,sequence-specific DNA binding//DNA binding//specific RNA polymerase II transcription factor activity//transcription factor activity,primary,
1984,serine-type endopeptidase activity,primary,
1985,ORF,primary,
1986,ATP-dependent helicase activity,primary,641
1987,ORF,primary,
1988,ATP-dependent RNA helicase activity,primary,641
1989,ORF,primary,
1990,protein binding,primary,
1991,ORF,primary,
1992,damaged DNA binding,primary,
1993,ORF,primary,
1994,protein serine/threonine kinase activity,primary,1451
1995,electron carrier activity//heme binding//monooxygenase activity//iron ion binding,primary,
1996,sequence-specific DNA binding//RNA polymerase II transcription factor activity//transcription factor activity,primary,
1997,ORF,primary,
1998,double-stranded RNA binding//double-stranded RNA adenosine deaminase activity,primary,
1999,structural constituent of cell wall,primary,
2000,ORF,primary,
2001,sequence-specific DNA binding//transcription factor activity//protein dimerization activity//protein homodimerization activity,primary,
2002,ORF,primary,
2003,structural constituent of muscle//protein binding//calcium ion binding,primary,
2004,ORF,primary,
2005,serine-type endopeptidase activity,primary,
2006,odorant binding,primary,
2007,oxygen transporter activity,primary,776
2008,trypsin activity,primary,823
2009,ionotropic glutamate receptor activity//sugar binding//extracellular-glutamate-gated ion channel activity,primary,
2010,ORF,primary,
2011,ORF,primary,
2012,structural constituent of ribosome,primary,
2013,ORF,primary,
2014,nucleotide binding//mRNA binding//nucleic acid binding,primary,
2015,ORF,primary,
2016,nucleocytoplasmic transporter activity,primary,
2017,ORF,primary,
2018,pyruvate kinase activity,primary,684
2019,ORF,primary,
2020,protein binding//serine-type endopeptidase activity,primary,
2021,RNA-directed DNA polymerase activity,primary,1381
2022,long-chain-fatty-acid-CoA ligase activity,primary,987
2023,structural molecule activity,primary,
2024,oxidoreductase activity,primary,
2025,transcription initiation factor activity//general RNA polymerase II transcription factor activity,primary,
2026,catalytic activity,primary,
2027,ORF,primary,
2028,DNA binding,primary,
2029,alpha-mannosidase activity,primary,939
2030,ORF,primary,
2031,alpha-glucosidase activity,primary,40
2032,high affinity sulfate transmembrane transporter activity,primary,
2033,ORF,primary,
2034,ORF,primary,
2035,serine-type endopeptidase activity,primary,
2036,nitrilase activity,primary,422
2037,electron carrier activity//FAD binding,primary,
2038,ORF,primary,
2039,ORF,primary,
2040,double-stranded RNA binding,primary,
2041,apoptotic protease activator activity//protein binding//caspase activity,primary,
2042,ORF,primary,
2043,ORF,primary,
2044,serine-type endopeptidase inhibitor activity,primary,
2045,ORF,primary,
2046,CDP-diacylglycerol-inositol 3-phosphatidyltransferase activity,primary,288
2047,ATPase activity,primary,641
2048,high affinity inorganic phosphate:sodium symporter activity,primary,
2049,Author statement,primary,448
2050,ORF,primary,
2051,RNA-directed DNA polymerase activity,primary,1381
2052,snoRNA binding//rRNA pseudouridylation guide activity,primary,
2053,electron carrier activity//short-branched-chain-acyl-CoA dehydrogenase activity//FAD binding,primary,
2054,RNA polymerase II transcription factor activity//transcription regulator activity//DNA binding//zinc ion binding,primary,
2055,ORF,primary,
2056,structural constituent of ribosome,primary,
2057,signal transducer activity//protein binding//phosphoinositide binding,primary,
2058,ORF,primary,
2059,protein binding//zinc ion binding,primary,
2060,ORF,primary,
2061,ORF,primary,
2062,electron carrier activity,primary,
2063,nucleotide binding//RNA polymerase II transcription factor activity,primary,
2064,protein binding,primary,
2065,ORF,primary,
2066,3'-5' exonuclease activity//nucleic acid binding,primary,
2067,tRNA-pseudouridine synthase activity,primary,1405
2068,transcription factor activity//protein dimerization activity//sequence-specific DNA binding//protein heterodimerization activity,primary,
2069,taste receptor activity,primary,
2070,ATP-dependent helicase activity,primary,641
2071,serine-type endopeptidase activity,primary,
2072,odorant binding,primary,
2073,ORF,primary,
2074,actin-dependent ATPase activity,primary,641
2075,ORF,primary,
2076,ORF,primary,
2077,P-P-bond-hydrolysis-driven protein transmembrane transporter activity,primary,
2078,1-phosphatidylinositol-4-phosphate 5-kinase activity,primary,702
2079,ORF,primary,
2080,sequence-specific DNA binding//DNA binding//transcription factor activity,primary,
2081,oligopeptidase A activity,primary,1049
2082,ORF,primary,
2083,Ran GTPase binding//protein binding//nuclear localization sequence binding//zinc ion binding,primary,
2084,ORF,primary,
2085,ATPase activity,primary,641
2086,unfolded protein binding//signal recognition particle binding//heat shock protein binding,primary,
2087,ORF,primary,
2088,DNA binding,primary,
2089,ORF,primary,
2090,low-density lipoprotein receptor activity//serine-type endopeptidase activity,primary,
2091,3-oxoacid CoA-transferase activity,primary,171
2092,"heme binding//iron ion binding//electron transporter, transferring electrons within CoQH2-cytochrome c reductase complex activity",primary,
2093,adenosine deaminase activity,primary,115
2094,fumarylacetoacetase activity,primary,780
2095,ORF,primary,
2096,leucyl aminopeptidase activity,primary,1511
2097,sodium channel activity,primary,
2098,ORF,primary,
2099,ORF,primary,
2100,unfolded protein binding//ATP binding,primary,
2101,DNA binding,primary,
2102,satellite DNA binding//AT DNA binding//double-stranded DNA binding,primary,
2103,transcription factor activity//zinc ion binding,primary,
2104,ORF,primary,
2105,ORF,primary,
2106,protein kinase activity//ATP binding,primary,
2107,ORF,primary,
2108,ORF,primary,
2109,ORF,primary,
2110,GTPase activity,primary,1171
2111,ORF,primary,
2112,sodium-independent organic anion transmembrane transporter activity,primary,
2113,zinc ion binding//nucleic acid binding,primary,
2114,GTPase activity,primary,1171
2115,ORF,primary,
2116,ORF,primary,
2117,odorant binding,primary,
2118,ORF,primary,
2119,double-stranded RNA binding,primary,
2120,ORF,primary,
2121,"transforming growth factor beta receptor, inhibitory cytoplasmic mediator activity//protein binding//transcription factor activity",primary,
2122,transmembrane receptor activity//protein binding,primary,
2123,ORF,primary,
2124,zinc ion binding//nucleic acid binding,primary,
2125,structural molecule activity,primary,
2126,phosphoserine transaminase activity,primary,1010
2127,sequence-specific DNA binding//transcription factor activity//zinc ion binding,primary,
2128,specific transcriptional repressor activity,primary,
2129,ORF,primary,
2130,ORF,primary,
2131,caspase activity,primary,1563
2132,triacylglycerol lipase activity,primary,309
2133,DNA binding,primary,
2134,ORF,primary,
2135,methionine-tRNA ligase activity,primary,1423
2136,ORF,primary,
2137,translation elongation factor activity//guanyl-nucleotide exchange factor activity//translation release factor activity,primary,
2138,electron carrier activity,primary,
2139,arginase activity,primary,685
2140,structural constituent of chitin-based cuticle,primary,
2141,pheromone binding,primary,
2142,ATP-dependent helicase activity,primary,641
2143,ORF,primary,
2144,GTPase activity,primary,1171
2145,ORF,primary,
